element,integration_point,centroid_x,centroid_y,S11,S22,S12
64,1,0.566666682561239,0.0833333345750968,100004892.98781428,-40418.72134287283,-88016.99327276231
65,1,0.633333325386047,0.0666666676600774,99969396.88843898,-24468.661730919033,-36124.52696164535
66,1,0.616666674613953,0.0833333345750968,99999839.34503779,-26124.784562386572,-43874.678241629495
67,1,0.683333317438761,0.0666666676600774,99988096.08577068,-11982.73605370149,-17449.426370717356
68,1,0.666666646798452,0.0833333345750968,99998108.91959666,-15855.052383616567,-19102.644244253308
69,1,0.73333332935969,0.0666666676600774,99997173.256894,-5135.706509683281,-7078.424050315134
70,1,0.716666658719381,0.0833333345750968,99997905.00119738,-9040.061425693333,-6224.260197015563
71,1,0.783333341280619,0.0666666676600774,100000906.86432184,-1665.4856434240937,-1740.3469990149333
72,1,0.76666667064031,0.0833333345750968,99998292.6381952,-4799.892119325697,-192.63828243914293
73,1,0.833333353201548,0.0666666676600774,100001909.51233856,-36.18279502913356,717.6845098979876
74,1,0.816666682561239,0.0833333345750968,99998814.51901561,-2293.1892352961004,2158.6076210654765
75,1,0.883333325386047,0.0666666676600774,100001686.52809185,759.7134955897927,1581.9620822845307
76,1,0.866666674613953,0.0833333345750968,99999254.58557415,-832.6608243361115,2665.431594610197
77,1,0.933333317438761,0.0666666676600774,100001060.29549173,1341.9693607464433,1514.1471839762808
78,1,0.916666646798452,0.0833333345750968,99999498.01131459,103.15846240147948,2268.288203860598
79,1,0.98333332935969,0.0666666676600774,100000459.57980818,1867.1143998280168,755.9624819160018
80,1,0.966666658719381,0.0833333345750968,99999464.40649705,863.202662345022,1294.1776861713067
81,1,0.0333333338300387,0.116666669646899,95339937.83560461,16805180.100211307,8139448.391030849
82,1,0.0166666669150194,0.133333337803682,97546831.41249877,29264049.42374963,4190973.3231563843
83,1,0.0833333345750968,0.116666669646899,99845845.64449641,8874435.4571951,5813490.735599302
84,1,0.0666666676600774,0.133333337803682,100563593.88183773,18372276.91408124,3063139.2514121593
85,1,0.133333337803682,0.116666669646899,101367105.96268325,3898095.249259431,2984071.418562258
86,1,0.116666669646899,0.133333337803682,101949971.16387513,9505673.113008723,1317413.670308865
87,1,0.183333337306976,0.116666669646899,101103353.11112934,1284034.646889992,1005928.087818027
88,1,0.16666667163372,0.133333337803682,102139993.99332729,4129961.658452645,-39378.79755270584
89,1,0.233333334326744,0.116666669646899,100668269.7204705,99712.76594254747,23567.191576281795
90,1,0.216666668653488,0.133333337803682,101807601.24829495,1495309.0880396739,-658913.4039037903
91,1,0.283333341280619,0.116666669646899,100356118.46473598,-343669.3322197944,-350897.5479286063
92,1,0.26666667064031,0.133333337803682,101344995.29575217,302730.43852704763,-791164.3492997655
93,1,0.333333333333333,0.116666669646899,100171071.1447573,-436955.09707118943,-420926.6884397438
94,1,0.316666672627131,0.133333337803682,100921559.4239602,-174037.0444525294,-693766.7425582145
95,1,0.383333335320155,0.116666669646899,100072165.09147061,-386118.4340944998,-364323.0790782291
96,1,0.366666664679845,0.133333337803682,100591712.05482963,-310762.82404949144,-524489.1876265251
97,1,0.433333327372869,0.116666669646899,100023850.81590709,-292744.1041676961,-272214.3947549601
98,1,0.416666666666667,0.133333337803682,100358133.48611705,-300327.91570056975,-360171.70115406974
99,1,0.48333332935969,0.116666669646899,100002749.37566455,-201853.36728020757,-185120.88066000116
100,1,0.466666658719381,0.133333337803682,100204009.04827975,-238696.63445590064,-229386.85263786546
101,1,0.533333341280619,0.116666669646899,99995168.46787773,-129427.5469112955,-116919.7975782986
102,1,0.51666667064031,0.133333337803682,100108344.77582799,-170174.74723117426,-136419.9527149236
103,1,0.583333353201548,0.116666669646899,99993682.0030657,-77788.6705041118,-68987.87312185306
104,1,0.566666682561239,0.133333337803682,100052428.12957294,-112249.64840273559,-75526.18888713862
105,1,0.633333325386047,0.116666669646899,99994538.5914231,-43793.96327866614,-37852.50786310128
106,1,0.616666674613953,0.133333337803682,100021850.76617444,-69338.04157149047,-38328.50581887597
107,1,0.683333317438761,0.116666669646899,99996000.54237683,-22882.976449675858,-18946.187979932958
108,1,0.666666646798452,0.133333337803682,100006491.40414046,-40208.11946345493,-17106.19112891615
109,1,0.73333332935969,0.116666669646899,99997366.48251684,-10835.123694147915,-8198.110371339464
110,1,0.716666658719381,0.133333337803682,99999722.86998564,-21766.27816702798,-5889.520184874316
111,1,0.783333341280619,0.116666669646899,99998429.8574444,-4342.494622003287,-2524.2462641662532
112,1,0.76666667064031,0.133333337803682,99997463.69899349,-10805.958751149476,-523.9636466990321
113,1,0.833333353201548,0.116666669646899,99999193.6015291,-1029.5808569677174,177.8219629637483
114,1,0.816666682561239,0.133333337803682,99997339.86132199,-4669.493458725512,1656.8822096281199
115,1,0.883333325386047,0.116666669646899,99999725.78694595,738.010415006429,1208.6488900265185
116,1,0.866666674613953,0.133333337803682,99998035.82420897,-1376.914053004235,2233.041824167516
117,1,0.933333317438761,0.116666669646899,100000089.10881788,2073.4834733344615,1262.5705151842449
118,1,0.916666646798452,0.133333337803682,99998826.02955157,468.0831966884434,2034.8534450980962
119,1,0.98333332935969,0.116666669646899,100000318.7484676,3711.0092308446765,549.7175249457715
120,1,0.966666658719381,0.133333337803682,99999239.66967344,1818.6517300195992,1349.719547325684
121,1,0.0333333338300387,0.16666667163372,94062304.04244573,17648958.190239504,4035956.622990799
122,1,0.0166666669150194,0.183333337306976,97103926.58765778,29131177.97629733,125691.69225869716
123,1,0.0833333345750968,0.16666667163372,98082200.97311535,10100967.218340017,3214028.9853504337
124,1,0.0666666676600774,0.183333337306976,100159978.6698361,19478260.57845661,129971.6340090122
125,1,0.133333337803682,0.16666667163372,100588348.28372979,4966930.179190934,2027435.1153862488
126,1,0.116666669646899,0.183333337306976,101783846.00654939,11211460.72837023,24350.984539909543
127,1,0.183333337306976,0.16666667163372,101486014.37630774,1950029.6017208248,980750.7901041177
128,1,0.16666667163372,0.183333337306976,102247259.57888646,5464603.567737937,-170431.29374862293
