Elem,xc,yc,s11,s22,s12,e11,e22,g12
162,0.347222222222222,0.146666666666667,100752087.769893,-387393.910572156,-489559.379431324,0.000480325266395548,-0.000145776286864477,-6.06121136438782e-06
163,0.402777777777778,0.133333333333333,100222889.427636,-372837.567345738,-292304.386540069,0.000477784479513523,-0.000144950973312555,-3.61900669049609e-06
164,0.388888888888889,0.146666666666667,100500948.666877,-398891.596957609,-366417.46184835,0.000479145791171261,-0.000145472267604861,-4.53659714669385e-06
165,0.444444444444444,0.133333333333333,100135000.511227,-286537.650634889,-218779.952805632,0.000477242675268654,-0.000144414465733347,-2.70870417759354e-06
166,0.430555555555556,0.146666666666667,100318562.870705,-344135.534425046,-257645.415051524,0.000478199064433488,-0.000144950973312555,-3.18989561492363e-06
167,0.486111111111111,0.133333333333333,100077726.870067,-206467.520063244,-153926.68634591,0.000476855557743267,-0.000143951359909921,-1.90575897380651e-06
168,0.472222222222222,0.146666666666667,100192739.077036,-269216.080892038,-171638.676159667,0.000477492875720495,-0.000144414465733347,-2.12505027626255e-06
169,0.527777777777778,0.133333333333333,100041872.954336,-141092.432658777,-102702.27345671,0.000476591431829206,-0.000143588830090283,-1.27155195708308e-06
170,0.513888888888889,0.146666666666667,100109924.686305,-196808.175191808,-108553.188342875,0.000476995081613633,-0.000143951359909921,-1.34399185567369e-06
171,0.569444444444445,0.133333333333333,100020408.870374,-91847.3927622326,-65125.160092901,0.000476418871848584,-0.000143323666923212,-8.06311505912108e-07
172,0.555555555555555,0.146666666666667,100057939.260691,-136272.54075221,-64940.5911873087,0.000476661052490079,-0.000143588830090283,-8.04026367080964e-07
173,0.611111111111111,0.133333333333333,100008244.885634,-56934.6394432709,-39107.8814434506,0.000476311072749844,-0.000143140038595874,-4.84192817871293e-07
174,0.597222222222222,0.146666666666667,100026974.160334,-89877.8057743162,-36332.8544559429,0.000476447321438409,-0.000143323666923212,-4.49835340883103e-07
175,0.652777777777778,0.133333333333333,100001853.013499,-33433.5235422514,-21988.0374235472,0.00047624706224077,-0.000143018997274247,-2.72232844291537e-07
176,0.638888888888889,0.146666666666667,100009687.440759,-56501.8729057014,-18514.1106796147,0.000476317323822053,-0.000143140038595874,-2.29222322699991e-07
177,0.694444444444445,0.133333333333333,99998883.4116797,-18373.405796241,-11267.7483711654,0.000476211406825803,-0.000142943040139525,-1.39505456023953e-07
178,0.680555555555555,0.146666666666667,100000887.015701,-33723.3228817061,-8025.81692922753,0.000476242876250311,-0.000143018997274247,-9.93672572190075e-08
